"subj","current_staircase","duration_test","duration_ref","contrast_test","contrast_ref","stimulus_type","reference_type","stimulus_filename","reference_filename","ref_test_order","RT","resp","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy","E","T","D","Ldu","Len"
"04",1,500,5000,3,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_19_Caucasian_female_angry_frontal_003.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_12_Caucasian_female_neutral_frontal_050.tiff",0,0.0271469,1,3.69102303621884,0.0209764063404496,0.0537563313119535,0.0702510044690067,"faces",50,"F_04_split_by_duration_test.500",1500,-0.952419521416125,-0.991826626337951,-0.868605816686483,6.21460809842219,7.3132203870903
"04",2,901,5000,2,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_002.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_28_Caucasian_male_angry_frontal_050.tiff",0,0.0011459,0,1.2995280069176,0.0232858387806515,0.0777524747231136,0.0571061080178132,"faces",50,"F_04_split_by_duration_test.901",1802,-0.951608155817537,-1.07457194932246,-0.856029217567031,6.80350525760834,7.49665243816828
"04",3,1623,5000,18,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_24_Caucasian_male_neutral_frontal_018.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_18_Caucasian_female_angry_frontal_050.tiff",1,0.2630586,1,18.6467994940971,0.0237913768895872,0.0542474014391382,0.0649263139447938,"faces",50,"F_04_split_by_duration_test.1623",29214,-0.877961951219896,-0.474359293841394,-0.833385066534001,7.39203156751459,10.2824033254108
"04",4,2924,5000,45,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_04_Caucasian_female_neutral_frontal_045.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_02_Caucasian_female_angry_frontal_050.tiff",0,0.0011125,1,44.3911037642578,0.0245320742210171,0.0630995956019508,0.0562763499631864,"faces",50,"F_04_split_by_duration_test.2924",131580,-0.602941252991306,0.416389273789292,-0.792581686348446,7.98070782086967,11.78737031064
"04",5,5268,5000,18,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_09_Caucasian_male_neutral_frontal_018.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_03_Caucasian_male_neutral_frontal_050.tiff",0,0.5730818,0,17.3342436894944,0.0276999241550071,0.0565927747107109,0.0824703913516344,"faces",50,"F_04_split_by_duration_test.5268",94824,-0.701691431606178,-0.51977350238306,-0.719066603216284,8.56940606286317,11.4597778207593
"04",6,9491,5000,52,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_052.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_23_Caucasian_male_neutral_frontal_050.tiff",0,0.001137,1,52.6293509318684,0.0555072131674469,0.0948672691835102,0.0469080757556973,"faces",50,"F_04_split_by_duration_test.9491",493532,0.369493850121395,0.701431230539398,-0.586620273836114,9.15809926013049,13.1093429787119
"04",7,17100,5000,86,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_08_Caucasian_female_angry_frontal_086.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_12_Caucasian_female_angry_frontal_050.tiff",1,1.37219,0,85.2071907030929,0.0297321847502532,0.0658495930135518,0.0463743912461709,"faces",50,"F_04_split_by_duration_test.17100",1470600,2.99452485237617,1.82861896916299,-0.347978521467249,9.74683374249075,14.2011810387443
"04",8,30808,5000,96,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_08_Caucasian_female_neutral_frontal_096.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_050.tiff",0,0.4330396,0,96.2854892196502,0.0226550139947225,0.0688390644111221,0.0516258930922105,"faces",50,"F_04_split_by_duration_test.30808",2957568,6.98947412853789,2.21192622158877,0.0819467172595741,10.3355296754947,14.8998778669626
"04",9,55505,5000,8,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_04_Caucasian_female_neutral_frontal_008.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_27_Caucasian_female_neutral_frontal_050.tiff",0,0.5161298,1,7.50966477301678,0.0206673465296578,0.0614909581990309,0.0655110454312401,"faces",50,"F_04_split_by_duration_test.55505",444040,0.23652661103098,-0.85970226897903,0.856520952803516,10.9242283857667,13.0036699274466
"04",10,100000,5000,26,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_16_Caucasian_female_neutral_frontal_026.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_02_Caucasian_female_neutral_frontal_050.tiff",0,0.472042,0,25.1871904974525,0.0270386854237078,0.0648913522600601,0.0763173693385736,"faces",50,"F_04_split_by_duration_test.100000",2600000,6.02881725980999,-0.248062872821542,2.25202164562158,11.5129254649702,14.7710220029917
