"subj","current_staircase","duration","contrast","stimulus_type","stimulus_filename","RT","resp","correct","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy"
"05",8,30808,12,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_02_Caucasian_female_angry_frontal_012.tiff",0.4770727,0,0,12.4223143016212,0.0502721513392583,0.042107233420139,0.5,"faces",50,"F_05_split_by_duration.30808",369696
"05",9,55505,14,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_03_Caucasian_male_neutral_frontal_014.tiff",0.9200725,0,1,13.9382060277222,0.0514153676838715,0.0444680086935252,0.5,"faces",50,"F_05_split_by_duration.55505",777070
"05",10,1e+05,12,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_25_Caucasian_male_angry_frontal_012.tiff",0.3450713,1,1,10.9752562402215,0.0564462609669362,0.0721042401682734,0.5,"faces",50,"F_05_split_by_duration.1e+05",1200000
"06",4,2924,97,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_21_Caucasian_male_angry_frontal_097.tiff",0.4550712,0,0,97.7133365591705,0.0533163058892613,0.0542524459993912,0.5,"faces",50,"F_06_split_by_duration.2924",283628
"06",5,5268,98,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_25_Caucasian_male_angry_frontal_098.tiff",0.4690508,0,0,97.4104952950694,0.0466851930857293,0.054902424292113,0.5,"faces",50,"F_06_split_by_duration.5268",516264
"06",6,9491,75,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_05_Caucasian_male_angry_frontal_075.tiff",0.3990339,1,1,74.1592866774822,0.0547212518628519,0.0521294243183665,0.5,"faces",50,"F_06_split_by_duration.9491",711825
"06",7,17100,56,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_22_Caucasian_female_neutral_frontal_056.tiff",0.3461207,0,1,55.7590442547356,0.0478642710706383,0.0497906368518959,0.5,"faces",50,"F_06_split_by_duration.17100",957600
"06",8,30808,36,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_31_Caucasian_female_neutral_frontal_036.tiff",0.3730541,0,1,35.1437100867564,0.0530658890804288,0.0736208166241319,0.5,"faces",50,"F_06_split_by_duration.30808",1109088
"06",9,55505,13,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_08_Caucasian_female_neutral_frontal_013.tiff",0.3880439,0,1,12.6816019599976,0.0505709970365977,0.0697688618692375,0.5,"faces",50,"F_06_split_by_duration.55505",721565
"06",10,1e+05,22,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_09_Caucasian_male_neutral_frontal_022.tiff",0.6470453,1,0,23.2576197004681,0.0526606907153711,0.0757224424007831,0.5,"faces",50,"F_06_split_by_duration.1e+05",2200000
